iter	Passed	Remaining
0	0	88
1	1	80
2	2	76
3	3	75
4	4	79
5	5	81
6	6	80
7	6	78
8	7	76
9	8	74
10	9	74
11	10	74
12	10	73
13	11	73
14	12	72
15	13	71
16	14	69
17	15	68
18	15	68
19	17	68
20	17	67
21	18	66
22	19	64
23	20	63
24	21	63
25	21	62
26	22	60
27	23	59
28	23	58
29	24	57
30	25	56
31	26	55
32	27	54
33	28	54
34	29	54
35	30	53
36	30	52
37	31	51
38	32	50
39	33	49
40	33	48
41	34	47
42	35	46
43	36	46
44	36	45
45	37	44
46	38	43
47	39	42
48	40	41
49	41	41
50	41	40
51	42	39
52	43	38
53	43	37
54	44	36
55	45	35
56	46	34
57	46	33
58	47	33
59	48	32
60	49	31
61	49	30
62	50	29
63	51	28
64	52	28
65	53	27
66	54	26
67	54	25
68	55	24
69	56	24
70	57	23
71	58	22
72	59	21
73	59	21
74	60	20
75	61	19
76	62	18
77	62	17
78	64	17
79	65	16
80	66	15
81	66	14
82	67	13
83	68	13
84	69	12
85	69	11
86	70	10
87	71	9
88	72	8
89	73	8
90	73	7
91	74	6
92	75	5
93	76	4
94	77	4
95	78	3
96	78	2
97	79	1
98	80	0
99	81	0
