iter	Passed	Remaining
0	1	1587
1	3	1565
2	4	1607
3	6	1589
4	8	1615
5	9	1569
6	10	1544
7	12	1536
8	13	1513
9	14	1482
10	16	1462
11	17	1452
12	18	1434
13	20	1424
14	22	1457
15	23	1454
16	25	1448
17	26	1433
18	27	1429
19	29	1429
20	30	1426
21	31	1419
22	33	1409
23	34	1421
24	37	1444
25	38	1437
26	39	1434
27	41	1429
28	42	1426
29	43	1421
30	45	1428
31	47	1434
32	48	1429
33	50	1434
34	52	1434
35	53	1434
36	54	1429
37	56	1424
38	57	1427
39	59	1426
40	60	1419
41	62	1415
42	63	1412
43	65	1416
44	66	1419
45	68	1412
46	69	1408
47	71	1409
48	72	1413
49	74	1413
50	75	1412
51	77	1409
52	78	1410
53	80	1410
54	82	1414
55	83	1415
56	85	1413
57	86	1412
58	88	1411
59	90	1411
60	91	1409
61	92	1405
62	95	1417
63	96	1414
64	98	1410
65	99	1408
66	101	1406
67	102	1402
68	103	1400
69	105	1397
70	106	1394
71	108	1395
72	110	1397
73	111	1396
74	112	1393
75	114	1392
76	115	1388
77	117	1386
78	118	1384
79	120	1383
80	121	1380
81	122	1375
82	124	1376
83	126	1374
84	127	1372
85	129	1372
86	130	1370
87	132	1368
88	133	1368
89	135	1365
90	136	1363
91	138	1362
92	139	1363
93	141	1362
94	143	1362
95	144	1359
96	145	1357
97	147	1356
98	148	1354
99	150	1351
100	151	1349
101	153	1347
102	153	1340
103	155	1339
104	156	1336
105	158	1334
106	159	1331
107	160	1328
108	162	1325
109	163	1323
110	165	1321
111	166	1319
112	168	1319
113	170	1325
114	172	1327
115	173	1323
116	175	1321
117	176	1320
118	178	1318
119	179	1315
120	180	1314
121	181	1309
122	183	1309
123	185	1311
124	187	1311
125	189	1311
126	190	1311
127	192	1310
128	193	1308
129	195	1306
130	196	1305
131	198	1305
132	199	1302
133	201	1300
134	202	1298
135	204	1296
136	205	1293
137	206	1292
138	208	1289
139	209	1287
140	210	1280
141	211	1280
142	213	1279
143	215	1279
144	216	1277
145	218	1276
146	219	1274
147	221	1272
148	222	1270
149	223	1268
150	225	1266
151	226	1266
152	228	1266
153	230	1264
154	231	1262
155	233	1261
156	234	1260
157	235	1257
158	237	1255
159	238	1254
160	240	1254
161	242	1255
162	244	1254
163	245	1253
164	247	1251
165	248	1249
166	249	1246
167	251	1244
168	252	1241
169	254	1240
170	255	1239
171	257	1238
172	258	1237
173	260	1236
174	261	1234
175	263	1233
176	264	1231
177	266	1229
178	267	1228
179	269	1226
180	270	1225
181	272	1225
182	274	1224
183	275	1222
184	277	1220
185	278	1219
186	280	1217
187	281	1215
188	282	1214
189	284	1212
190	285	1211
191	287	1210
192	289	1208
193	290	1206
194	292	1205
195	293	1204
196	295	1202
197	296	1201
198	298	1200
199	299	1198
200	301	1197
201	302	1196
202	304	1195
203	305	1193
204	307	1192
205	309	1191
206	310	1189
207	311	1187
208	313	1185
209	314	1184
210	316	1183
211	318	1182
212	319	1180
213	321	1179
214	322	1177
215	323	1175
216	325	1173
217	326	1171
218	328	1170
219	329	1169
220	331	1168
221	332	1166
222	334	1165
223	335	1163
224	337	1160
225	338	1159
226	339	1157
227	341	1156
228	342	1153
229	344	1152
230	345	1151
231	347	1149
232	348	1148
233	350	1147
234	352	1146
235	354	1146
236	355	1144
237	357	1143
238	358	1142
239	360	1140
240	361	1139
241	363	1137
242	364	1136
243	366	1136
244	369	1137
245	370	1136
246	372	1135
247	374	1135
248	376	1134
249	377	1132
250	378	1130
251	380	1130
252	382	1128
253	383	1126
254	385	1124
255	386	1123
256	388	1122
257	389	1121
258	391	1119
259	392	1117
260	394	1116
261	395	1114
262	396	1112
263	398	1110
264	399	1108
265	401	1106
266	402	1104
267	404	1103
268	405	1102
269	406	1100
270	408	1098
271	409	1096
272	410	1094
273	412	1092
274	413	1090
275	414	1087
276	415	1085
277	417	1084
278	418	1082
279	420	1080
280	421	1079
281	423	1077
282	425	1076
283	426	1075
284	428	1073
285	429	1071
286	430	1069
287	432	1068
288	433	1066
289	434	1064
290	436	1063
291	438	1062
292	439	1060
293	440	1058
294	442	1056
295	443	1054
296	444	1053
297	446	1051
298	447	1049
299	449	1048
300	450	1046
301	452	1045
302	453	1043
303	454	1041
304	456	1039
305	457	1037
306	458	1035
307	460	1033
308	461	1031
309	462	1029
310	464	1028
311	465	1026
312	467	1025
313	468	1023
314	469	1021
315	470	1019
316	472	1017
317	473	1015
318	474	1013
319	476	1012
320	477	1010
321	478	1008
322	480	1007
323	482	1005
324	483	1003
325	484	1001
326	485	999
327	487	998
328	488	996
329	489	994
330	491	992
331	492	990
332	493	989
333	495	988
334	496	986
335	498	984
336	499	982
337	500	981
338	502	979
339	503	977
340	504	975
341	506	973
342	507	972
343	509	970
344	510	969
345	511	967
346	513	965
347	514	963
348	515	961
349	517	960
350	518	958
351	519	956
352	521	954
353	522	953
354	523	951
355	525	950
356	526	949
357	528	947
358	529	945
359	530	943
360	532	942
361	533	940
362	535	939
363	536	937
364	538	937
365	540	936
366	542	934
367	543	933
368	544	931
369	546	930
370	547	928
371	548	926
372	550	924
373	551	923
374	553	922
375	555	921
376	556	920
377	558	919
378	560	918
379	561	916
380	563	914
381	564	913
382	566	912
383	567	910
384	569	909
385	571	908
386	572	907
387	574	905
388	575	903
389	576	902
390	578	900
391	579	898
392	580	897
393	582	895
394	583	894
395	585	892
396	586	891
397	588	889
398	589	887
399	590	885
400	591	884
401	593	882
402	594	881
403	596	879
404	597	877
405	599	876
406	600	875
407	601	873
408	603	871
409	604	869
410	605	868
411	607	866
412	608	865
413	609	863
414	611	861
415	612	860
416	614	858
417	615	857
418	616	855
419	618	853
420	619	851
421	620	850
422	622	848
423	623	847
424	624	845
425	626	843
426	627	842
427	629	840
428	630	839
429	631	837
430	633	835
431	634	834
432	636	833
433	637	831
434	638	829
435	640	828
436	641	827
437	643	825
438	645	824
439	646	822
440	647	821
441	649	819
442	651	818
443	652	817
444	654	815
445	655	814
446	656	812
447	658	811
448	659	809
449	661	808
450	662	806
451	663	804
452	665	803
453	666	801
454	667	799
455	669	798
456	670	796
457	671	794
458	673	793
459	674	792
460	676	790
461	677	788
462	678	787
463	680	785
464	681	784
465	682	782
466	683	780
467	685	779
468	686	777
469	688	776
470	689	774
471	690	772
472	692	771
473	693	769
474	695	768
475	696	766
476	697	765
477	699	763
478	700	761
479	701	760
480	703	759
481	704	757
482	706	756
483	707	754
484	709	753
485	710	751
486	711	749
487	713	748
488	714	746
489	715	745
490	717	743
491	719	742
492	721	741
493	722	740
494	724	738
495	725	737
496	726	735
497	727	733
498	729	732
499	730	730
500	732	729
501	733	727
502	735	726
503	737	725
504	738	724
505	740	723
506	742	722
507	744	721
508	747	720
509	748	719
510	750	717
511	751	716
512	753	715
513	754	713
514	756	712
515	757	710
516	759	709
517	761	708
518	762	706
519	764	705
520	765	704
521	767	702
522	768	701
523	770	699
524	771	698
525	773	696
526	774	695
527	776	694
528	777	692
529	779	691
530	780	689
531	782	688
532	783	686
533	785	685
534	786	683
535	788	682
536	790	681
537	792	680
538	793	678
539	795	677
540	796	676
541	798	674
542	799	673
543	801	671
544	802	670
545	804	668
546	805	667
547	807	665
548	808	664
549	810	662
550	811	661
551	813	659
552	814	658
553	816	656
554	817	655
555	819	654
556	820	652
557	822	651
558	823	649
559	825	648
560	826	646
561	828	645
562	829	643
563	830	642
564	832	640
565	833	639
566	835	637
567	836	636
568	838	634
569	839	633
570	841	631
571	842	630
572	843	628
573	845	627
574	846	625
575	848	624
576	849	622
577	851	621
578	852	620
579	854	618
580	855	617
581	857	615
582	858	614
583	860	612
584	861	611
585	862	609
586	864	608
587	866	607
588	867	605
589	869	604
590	870	602
591	871	600
592	873	599
593	874	597
594	876	596
595	877	594
596	879	593
597	881	592
598	882	590
599	884	589
600	885	588
601	887	586
602	888	584
603	889	583
604	891	581
605	892	580
606	894	578
607	895	577
608	897	576
609	899	574
610	900	573
611	902	572
612	904	570
613	905	569
614	907	568
615	909	566
616	911	565
617	912	564
618	914	562
619	915	561
620	917	559
621	918	558
622	920	557
623	922	555
624	923	554
625	925	553
626	927	551
627	928	550
628	930	548
629	932	547
630	933	546
631	935	544
632	936	543
633	938	541
634	940	540
635	941	538
636	943	537
637	944	536
638	946	534
639	947	533
640	949	531
641	950	530
642	951	528
643	953	527
644	955	525
645	956	524
646	958	522
647	959	521
648	961	519
649	962	518
650	964	516
651	965	515
652	967	513
653	968	512
654	970	511
655	972	509
656	973	508
657	975	507
658	976	505
659	978	503
660	979	502
661	980	500
662	982	499
663	984	498
664	985	496
665	987	495
666	989	493
667	990	492
668	992	490
669	993	489
670	995	487
671	996	486
672	998	485
673	999	483
674	1001	482
675	1002	480
676	1004	479
677	1005	477
678	1007	476
679	1008	474
680	1010	473
681	1011	471
682	1013	470
683	1014	468
684	1016	467
685	1018	466
686	1019	464
687	1020	462
688	1022	461
689	1023	459
690	1025	458
691	1026	456
692	1028	455
693	1029	454
694	1031	452
695	1032	450
696	1033	449
697	1035	447
698	1036	446
699	1038	444
700	1039	443
701	1040	441
702	1042	440
703	1044	438
704	1045	437
705	1046	435
706	1047	434
707	1049	432
708	1050	431
709	1052	429
710	1053	428
711	1054	426
712	1055	425
713	1057	423
714	1058	422
715	1060	420
716	1061	419
717	1062	417
718	1064	415
719	1065	414
720	1066	412
721	1068	411
722	1069	409
723	1071	408
724	1072	406
725	1074	405
726	1075	403
727	1077	402
728	1078	400
729	1079	399
730	1081	397
731	1082	396
732	1084	394
733	1085	393
734	1088	392
735	1089	390
736	1090	389
737	1092	387
738	1093	386
739	1094	384
740	1096	383
741	1097	381
742	1098	380
743	1100	378
744	1101	377
745	1103	375
746	1105	374
747	1106	372
748	1108	371
749	1110	370
750	1111	368
751	1112	367
752	1114	365
753	1115	364
754	1117	362
755	1119	361
756	1120	359
757	1122	358
758	1123	356
759	1125	355
760	1126	353
761	1127	352
762	1128	350
763	1130	349
764	1132	347
765	1133	346
766	1135	344
767	1136	343
768	1138	341
769	1139	340
770	1140	338
771	1142	337
772	1143	335
773	1145	334
774	1146	332
775	1148	331
776	1150	330
777	1151	328
778	1152	327
779	1154	325
780	1155	324
781	1157	322
782	1158	321
783	1160	319
784	1161	318
785	1163	316
786	1164	315
787	1165	313
788	1167	312
789	1168	310
790	1169	309
791	1171	307
792	1172	306
793	1174	304
794	1175	303
795	1177	301
796	1178	300
797	1180	298
798	1181	297
799	1182	295
800	1184	294
801	1185	292
802	1187	291
803	1188	289
804	1190	288
805	1191	286
806	1193	285
807	1194	283
808	1196	282
809	1197	280
810	1199	279
811	1200	277
812	1201	276
813	1203	274
814	1204	273
815	1206	272
816	1208	270
817	1209	269
818	1211	267
819	1212	266
820	1213	264
821	1215	263
822	1216	261
823	1218	260
824	1219	258
825	1221	257
826	1222	255
827	1224	254
828	1225	252
829	1227	251
830	1228	249
831	1229	248
832	1231	246
833	1232	245
834	1234	243
835	1235	242
836	1237	240
837	1238	239
838	1240	238
839	1241	236
840	1243	235
841	1244	233
842	1245	232
843	1247	230
844	1248	229
845	1249	227
846	1251	226
847	1252	224
848	1254	223
849	1255	221
850	1256	220
851	1258	218
852	1259	217
853	1261	215
854	1262	214
855	1263	212
856	1265	211
857	1267	209
858	1269	208
859	1270	206
860	1272	205
861	1273	203
862	1274	202
863	1276	200
864	1277	199
865	1278	197
866	1280	196
867	1281	194
868	1283	193
869	1284	192
870	1286	190
871	1288	189
872	1289	187
873	1291	186
874	1293	184
875	1294	183
876	1296	181
877	1297	180
878	1299	178
879	1300	177
880	1301	175
881	1303	174
882	1304	172
883	1305	171
884	1307	169
885	1308	168
886	1310	166
887	1311	165
888	1313	163
889	1314	162
890	1316	160
891	1317	159
892	1318	158
893	1320	156
894	1321	155
895	1322	153
896	1323	152
897	1325	150
898	1327	149
899	1328	147
900	1330	146
901	1331	144
902	1332	143
903	1334	141
904	1335	140
905	1337	138
906	1338	137
907	1340	135
908	1341	134
909	1342	132
910	1344	131
911	1345	129
912	1347	128
913	1348	126
914	1349	125
915	1351	123
916	1352	122
917	1354	120
918	1355	119
919	1357	118
920	1358	116
921	1359	115
922	1361	113
923	1362	112
924	1363	110
925	1365	109
926	1366	107
927	1368	106
928	1370	104
929	1371	103
930	1373	101
931	1374	100
932	1376	98
933	1377	97
934	1379	95
935	1380	94
936	1381	92
937	1383	91
938	1384	89
939	1386	88
940	1387	87
941	1389	85
942	1390	84
943	1391	82
944	1393	81
945	1394	79
946	1396	78
947	1397	76
948	1399	75
949	1400	73
950	1402	72
951	1403	70
952	1405	69
953	1406	67
954	1407	66
955	1409	64
956	1410	63
957	1411	61
958	1413	60
959	1414	58
960	1415	57
961	1417	55
962	1418	54
963	1420	53
964	1421	51
965	1422	50
966	1424	48
967	1425	47
968	1426	45
969	1428	44
970	1429	42
971	1431	41
972	1432	39
973	1433	38
974	1435	36
975	1436	35
976	1437	33
977	1439	32
978	1441	30
979	1442	29
980	1444	27
981	1445	26
982	1447	25
983	1448	23
984	1450	22
985	1451	20
986	1453	19
987	1454	17
988	1456	16
989	1457	14
990	1459	13
991	1460	11
992	1461	10
993	1463	8
994	1464	7
995	1465	5
996	1467	4
997	1468	2
998	1470	1
999	1472	0
